long_entry,long_exit,short_entry,short_exit,total_pnl,long_pnl,short_pnl,trades,win_rate,profit_factor,max_drawdown
m5_rsi_recover,fixed_2atr,m5_first_reversal,ema9_1h,59.89,46.22,13.67,6,100.0,598920770820.87,0.0
m5_rsi_recover,fixed_2atr,m5_first_reversal,atr_trail,55.96,46.22,9.74,6,100.0,559583092885.8,0.0
m5_rsi_recover,fixed_2atr,m5_first_reversal,fixed_2atr,55.96,46.22,9.74,6,100.0,559583092885.8,0.0
m5_rsi_recover,fixed_2atr,m5_rsi_recover,ema9_1h,50.48,46.22,4.26,6,83.3,33.1,-1.57
m5_rsi_recover,fixed_2atr,m5_rsi_recover,fixed_2atr,50.48,46.22,4.26,6,83.3,33.1,-1.57
m5_rsi_recover,fixed_2atr,m5_rsi_recover,atr_trail,50.48,46.22,4.26,6,83.3,33.1,-1.57
m5_rsi_recover,fixed_2atr,m5_engulf,fixed_2atr,37.92,46.22,-8.3,6,83.3,3.6,0.0
m5_rsi_recover,fixed_2atr,m5_engulf,atr_trail,37.92,46.22,-8.3,6,83.3,3.6,0.0
m5_rsi_recover,fixed_2atr,m5_engulf,ema9_1h,37.92,46.22,-8.3,6,83.3,3.6,0.0
m5_rsi_recover,fixed_2atr,h1_close,ema9_1h,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,h1_close,atr_trail,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,m5_next_open,fixed_2atr,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,m5_next_open,atr_trail,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,m5_next_open,ema9_1h,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,h1_close,fixed_2atr,37.01,46.22,-9.21,6,66.7,3.79,-3.26
m5_rsi_recover,fixed_2atr,m5_ema9_cross,atr_trail,36.27,46.22,-9.95,6,66.7,3.45,-0.2
m5_rsi_recover,fixed_2atr,m5_ema9_cross,fixed_2atr,36.27,46.22,-9.95,6,66.7,3.45,-0.2
m5_rsi_recover,fixed_2atr,m5_ema9_cross,ema9_1h,36.27,46.22,-9.95,6,66.7,3.45,-0.2
