side,signal,sl,exit,is_pnl,is_pf,oos_pnl_avg,oos_pf_avg,oos_wr_avg,oos_max_dd,all_oos_positive,degradation_pct,oos_pnl_w1,oos_pnl_w2,oos_pnl_w3
short,bb_squeeze_dn,atr_1.5,atr_trail_2.5,-119.63,0.42,61.12,35.9,55.5,-24.04,False,8516.8,-3.2,43.47,143.09
short,bb_squeeze_dn,atr_2.0,atr_trail_2.5,-175.4,0.32,57.03,35.31,55.5,-31.39,False,10819.6,-8.11,43.47,135.74
short,bb_squeeze_dn,pct_1.5,atr_trail_2.5,-159.3,0.34,53.37,35.21,55.5,-31.98,False,10357.4,-18.49,43.47,135.14
short,bb_squeeze_dn,atr_2.5,atr_trail_2.5,-62.31,0.73,52.95,34.94,55.5,-38.74,False,4664.1,-13.01,43.47,128.39
short,bb_squeeze_dn,atr_1.5,atr_trail_1.5,-142.2,0.3,38.6,34.93,61.1,-23.91,False,11673.0,-14.24,42.98,87.05
long,momentum_up,atr_1.5,atr_trail_2.5,143.81,1.24,-8.31,1.5,46.7,-68.12,False,21.3,-54.24,-26.13,55.43
long,momentum_up,atr_1.5,fixed_3atr,202.46,1.31,-8.0,1.16,46.7,-60.03,False,-11.7,-24.63,-23.02,23.65
long,ema_macd_up,atr_2.5,ema9_trail,-313.24,0.62,11.36,1.09,49.6,-105.62,False,76.3,17.03,-18.23,35.28
long,ema_macd_up,atr_2.5,fixed_3atr,-282.72,0.67,-4.59,0.96,49.6,-105.06,False,44.0,29.44,-41.34,-1.86
long,ema_macd_up,atr_2.5,atr_trail_1.5,-234.36,0.72,-16.44,0.86,55.7,-115.25,False,20.5,6.93,-14.83,-41.41
